Wheat, Wheat, Coal, Iron | Coal, Luxury, Luxury, Goods
Iron, Coal, Wood, Wood | Wheat, Goods, Goods, Coal
Wheat, Iron, Coal, Wood | Luxury, Wheat, Coal, Goods
Coal, Iron, Wheat, Wheat | Goods, Wood, Iron, Luxury
Wood, Coal, Luxury, Iron | Goods, Wheat, Iron, Luxury
Wheat, Coal, Iron, Luxury | Wood, Wheat, Goods, Iron
Iron, Wheat, Wheat, Coal | Luxury, Goods, Coal, Wood
Coal, Iron, Wood, Wheat | Goods, Luxury, Wheat, Iron
Wood, Iron, Wheat, Luxury | Goods, Coal, Wheat, Iron
Wheat, Coal, Iron, Goods | Wood, Wheat, Luxury, Coal
Luxury, Iron, Wheat, Coal | Goods, Wood, Coal, Wheat
Iron, Wheat, Luxury, Wood | Goods, Coal, Wheat, Iron
Coal, Iron, Wheat, Goods | Wood, Luxury, Wheat, Iron
Wheat, Wood, Coal, Luxury | Goods, Iron, Wheat, Coal
Iron, Coal, Wheat, Goods | Wood, Luxury, Coal, Wheat
Luxury, Wheat, Coal, Iron | Goods, Wood, Wheat, Coal
Coal, Iron, Luxury, Wheat | Goods, Wheat, Iron, Wood
Wheat, Wood, Iron, Coal | Luxury, Goods, Coal, Wheat
Iron, Luxury, Coal, Wheat | Goods, Wood, Wheat, Iron
Coal, Wheat, Iron, Goods | Luxury, Wood, Wheat, Coal
Wheat, Luxury, Iron, Coal | Goods, Wood, Coal, Wheat
Iron, Coal, Wood, Wheat | Luxury, Goods, Wheat, Coal
Coal, Iron, Wheat, Luxury | Wood, Goods, Coal, Wheat
Wheat, Iron, Goods, Coal | Luxury, Wood, Coal, Wheat
Iron, Coal, Wheat, Luxury | Goods, Wood, Wheat, Coal
Wheat, Coal, Iron, Goods | Luxury, Wood, Coal, Wheat
Iron, Wheat, Coal, Luxury | Goods, Wood, Coal, Wheat
Wheat, Goods, Iron, Coal | Luxury, Wood, Wheat, Iron
Iron, Wheat, Coal, Goods | Luxury, Wood, Wheat, Coal
Wheat, Coal, Luxury, Iron | Goods, Wood, Coal, Wheat
Iron, Goods, Wheat, Coal | Luxury, Wood, Wheat, Iron
Wheat, Iron, Coal, Luxury | Goods, Wood, Coal, Wheat
Iron, Wheat, Coal, Wood | Luxury, Goods, Wheat, Coal
Wheat, Coal, Goods, Iron | Luxury, Wood, Coal, Wheat
Iron, Luxury, Wheat, Coal | Goods, Wood, Wheat, Coal
Wheat, Coal, Iron, Goods | Luxury, Wood, Wheat, Coal
Iron, Wheat, Luxury, Coal | Goods, Wood, Coal, Wheat
Wheat, Goods, Iron, Coal | Luxury, Wood, Coal, Wheat
Iron, Wheat, Coal, Luxury | Goods, Wood, Wheat, Coal
Wheat, Coal, Iron, Wood | Luxury, Goods, Wheat, Coal
Iron, Goods, Wheat, Coal | Luxury, Wood, Coal, Wheat
Wheat, Luxury, Iron, Coal | Goods, Wood, Coal, Wheat
Iron, Wheat, Coal, Goods | Luxury, Wood, Wheat, Coal
Wheat, Coal, Iron, Luxury | Goods, Wood, Wheat, Coal
Iron, Wheat, Coal, Wood | Luxury, Goods, Coal, Wheat
Wheat, Goods, Iron, Coal | Luxury, Wood, Wheat, Coal
Iron, Wheat, Coal, Luxury | Goods, Wood, Coal, Wheat
Wheat, Coal, Iron, Goods | Luxury, Wood, Wheat, Coal
Iron, Wheat, Luxury, Coal | Goods, Wood, Wheat, Coal
Wheat, Coal, Iron, Wood | Luxury, Goods, Coal, Wheat
Iron, Wheat, Coal, Goods | Luxury, Wood, Wheat, Coal
Wheat, Luxury, Iron, Coal | Goods, Wood, Wheat, Coal
Iron, Coal, Wheat, Luxury | Goods, Wood, Wheat, Coal
Wheat, Iron, Coal, Goods | Luxury, Wood, Coal, Wheat
